gameweek,total_projected_points,band_low,band_high,delta_vs_hold
4,1421.8,1074.0,1769.6,-62.3
5,1409.1,1066.9,1751.2,-75.0
6,1395.7,1056.7,1734.7,-88.4
7,1421.8,1074.0,1769.6,-62.3
8,1367.3,1039.4,1695.2,-116.8
9,1404.2,1061.9,1746.5,-79.9
10,1404.2,1061.9,1746.5,-79.9
12,1391.9,1056.0,1727.9,-92.2
13,1391.9,1056.0,1727.9,-92.2
14,1391.9,1056.0,1727.9,-92.2
15,1407.3,1066.0,1748.6,-76.8
16,1421.8,1074.0,1769.6,-62.3
17,1398.3,1063.6,1733.1,-85.8
18,1391.9,1056.0,1727.9,-92.2
19,1407.9,1069.3,1746.6,-76.2
