gameweek,projected_points,band_low,band_high,action,action_detail,wildcard_gain,wildcard_recommended,free_hit_gain,free_hit_recommended,chips_used
3,35.47,21.14,49.8,transfer,player_antonin_kinsky -> player_martin_dubravka (net +14.07),30.6,True,16.97,True,
4,49.1,33.33,64.87,bench_boost,,28.82,True,12.9,True,bench_boost
5,38.67,24.01,53.32,transfer,player_pascal_gross -> player_enzo_le_fee (net +12.37),25.22,True,10.81,True,bench_boost
6,46.31,32.95,59.67,free_hit,,18.78,True,8.14,True,bench_boost|free_hit
7,45.57,27.5,63.64,triple_captain,,4.81,False,7.43,True,bench_boost|free_hit|triple_captain
8,40.23,25.7,54.76,transfer,player_riccardo_calafiori -> player_omar_alderete (net +10.41),5.65,False,10.69,True,bench_boost|free_hit|triple_captain
9,43.17,28.41,57.93,transfer,player_bobby_thomas -> player_tyrick_mitchell (net +12.31),-1.95,False,7.35,True,bench_boost|free_hit|triple_captain
10,40.48,25.92,55.04,transfer,player_regan_slater -> player_will_hughes (net +5.07),7.6,False,11.19,True,bench_boost|free_hit|triple_captain
11,39.4,24.93,53.86,transfer,player_dominik_szoboszlai -> player_enzo_fernandez (net +3.46),-1.51,False,11.6,True,bench_boost|free_hit|triple_captain
12,42.45,27.67,57.24,transfer,player_virgil_van_dijk -> player_adrien_truffert (net +3.69),-7.31,False,5.83,True,bench_boost|free_hit|triple_captain
13,40.95,26.39,55.51,transfer,player_joe_rodon -> player_nathan_collins (net +6.03),2.25,False,8.46,True,bench_boost|free_hit|triple_captain
14,44.94,29.92,59.96,transfer,player_joao_pedro_junqueira_de_jesus -> player_danny_welbeck (net +3.41),-9.94,False,4.2,True,bench_boost|free_hit|triple_captain
15,41.62,27.14,56.1,transfer,player_luke_shaw -> player_maxence_lacroix (net +6.90),-22.47,False,4.61,True,bench_boost|free_hit|triple_captain
16,46.23,31.32,61.14,transfer,player_tyrick_mitchell -> player_ezri_konsa_ngoyo (net +1.80),-23.35,False,1.14,False,bench_boost|free_hit|triple_captain
