gameweek,total_projected_points,band_low,band_high,delta_vs_hold
4,1400.3,1061.0,1739.6,-91.5
5,1396.5,1060.2,1732.9,-95.3
6,1408.8,1066.2,1751.5,-83.0
7,1333.5,1017.0,1650.0,-158.3
8,1327.6,1018.7,1636.6,-164.2
9,1322.5,1012.2,1632.8,-169.3
10,1327.6,1018.7,1636.6,-164.2
11,1321.2,1011.1,1631.4,-170.6
13,1335.4,1019.9,1651.0,-156.4
14,1333.5,1017.0,1650.0,-158.3
15,1335.4,1019.9,1651.0,-156.4
16,1333.5,1017.0,1650.0,-158.3
17,1351.1,1029.1,1673.2,-140.7
18,1351.1,1029.1,1673.2,-140.7
19,1333.5,1017.0,1650.0,-158.3
